eps,min_samples,n_clusters,noise_ratio,silhouette
3.9021625861123157,5,3,0.058,0.5671217032015617
4.212566006258231,5,2,0.048,0.5898928250117744
4.615540618732236,5,1,0.034,
5.601291679047888,5,1,0.013,
6.841579691318129,5,1,0.005,
3.9021625861123157,10,2,0.097,0.294892380844123
4.212566006258231,10,3,0.067,0.43243130340948605
4.615540618732236,10,2,0.044,0.4268030289107644
5.601291679047888,10,1,0.018,
6.841579691318129,10,1,0.007,
3.9021625861123157,15,4,0.132,0.21343624902584973
4.212566006258231,15,2,0.093,0.2818811732563511
4.615540618732236,15,2,0.066,0.2795757338033683
5.601291679047888,15,1,0.024,
6.841579691318129,15,1,0.009,
